Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2025",461.09,463.12,453.83,454.43,454.43,59238500
"Dec 29, 2025",469.00,469.40,459.00,459.64,459.64,66263000
"Dec 26, 2025",485.23,489.09,473.82,475.19,475.19,58780700
"Dec 24, 2025",488.48,490.90,476.80,485.40,485.40,41285400
"Dec 23, 2025",489.40,491.97,482.84,485.56,485.56,58223600
"Dec 22, 2025",489.88,498.83,485.33,488.73,488.73,86916100
"Dec 19, 2025",488.12,490.49,474.72,481.20,481.20,103305400
"Dec 18, 2025",478.16,490.86,473.12,483.37,483.37,95168400
"Dec 17, 2025",488.22,495.28,466.20,467.26,467.26,106490400
"Dec 16, 2025",472.21,491.50,465.83,489.88,489.88,107608100
"Dec 15, 2025",469.44,481.77,467.66,475.31,475.31,114542200
"Dec 12, 2025",448.09,463.01,441.67,458.96,458.96,95656700
"Dec 11, 2025",448.95,449.27,440.33,446.89,446.89,55979500
"Dec 10, 2025",446.07,456.88,443.61,451.45,451.45,63257500
"Dec 9, 2025",437.54,452.39,435.70,445.17,445.17,62367400
"Dec 8, 2025",447.45,449.75,435.25,439.58,439.58,69165800
"Dec 5, 2025",453.03,458.87,451.66,455.00,455.00,56427500
"Dec 4, 2025",449.94,454.63,445.39,454.53,454.53,71906500
"Dec 3, 2025",432.10,447.92,431.11,446.74,446.74,87483000
"Dec 2, 2025",430.81,436.80,422.12,429.24,429.24,69336600
"Dec 1, 2025",425.32,433.66,425.29,430.14,430.14,57463600
"Nov 28, 2025",426.59,432.93,426.20,430.17,430.17,36252900
"Nov 26, 2025",423.95,426.94,416.89,426.58,426.58,63463000
"Nov 25, 2025",414.42,420.48,405.95,419.40,419.40,71915600
"Nov 24, 2025",402.17,421.72,401.09,417.78,417.78,96806400
"Nov 21, 2025",402.32,402.80,383.76,391.09,391.09,100460600
"Nov 20, 2025",414.63,428.94,394.74,395.23,395.23,113548800
"Nov 19, 2025",406.18,411.78,398.50,403.99,403.99,72047700
"Nov 18, 2025",405.38,408.90,393.71,401.25,401.25,80688600
"Nov 17, 2025",398.74,423.96,398.74,408.92,408.92,102214300
"Nov 14, 2025",386.30,412.19,382.78,404.35,404.35,105506700
"Nov 13, 2025",423.13,424.50,396.34,401.99,401.99,118948000
"Nov 12, 2025",442.15,442.33,426.56,430.60,430.60,58513500
"Nov 11, 2025",439.40,442.49,432.36,439.62,439.62,60533200
"Nov 10, 2025",439.60,449.67,433.36,445.23,445.23,76515900
"Nov 7, 2025",437.92,439.36,421.88,429.52,429.52,103471500
"Nov 6, 2025",461.96,467.45,435.09,445.91,445.91,109622900
"Nov 5, 2025",452.05,466.33,440.71,462.07,462.07,85573000
"Nov 4, 2025",454.46,460.22,443.60,444.26,444.26,87756600
"Nov 3, 2025",455.99,474.07,453.80,468.37,468.37,84595200
"Oct 31, 2025",446.75,458.00,443.69,456.56,456.56,83135800
"Oct 30, 2025",451.05,455.06,439.61,440.10,440.10,72447900
"Oct 29, 2025",462.50,465.70,452.65,461.51,461.51,67983500
"Oct 28, 2025",454.78,467.00,451.60,460.55,460.55,80185700
"Oct 27, 2025",439.98,460.16,438.69,452.42,452.42,105867500
"Oct 24, 2025",446.83,451.68,430.17,433.72,433.72,94727800
"Oct 23, 2025",420.00,449.40,413.90,448.98,448.98,126709800
"Oct 22, 2025",443.45,445.54,429.00,438.97,438.97,84023500
"Oct 21, 2025",445.76,449.30,442.05,442.60,442.60,54412200
"Oct 20, 2025",443.87,449.80,440.61,447.43,447.43,63719000
"Oct 17, 2025",425.50,441.46,423.60,439.31,439.31,89331600
"Oct 16, 2025",434.73,439.35,421.31,428.75,428.75,77189900
"Oct 15, 2025",434.90,440.51,426.33,435.15,435.15,71558200
"Oct 14, 2025",426.79,434.20,417.86,429.24,429.24,72669400
"Oct 13, 2025",423.53,436.89,419.70,435.90,435.90,79552800
"Oct 10, 2025",436.54,443.13,411.45,413.49,413.49,112107900
"Oct 9, 2025",431.81,436.35,426.18,435.54,435.54,69339900
"Oct 8, 2025",437.57,441.33,425.23,438.69,438.69,71192100
"Oct 7, 2025",447.82,452.68,432.45,433.09,433.09,102296100
"Oct 6, 2025",440.75,453.55,436.69,453.25,453.25,85324900
"Oct 3, 2025",443.29,446.77,416.58,429.83,429.83,133188200
"Oct 2, 2025",470.54,470.75,435.57,436.00,436.00,137009000
"Oct 1, 2025",443.80,462.29,440.75,459.46,459.46,98122300
"Sep 30, 2025",441.52,445.00,433.12,444.72,444.72,74358000
"Sep 29, 2025",444.35,450.98,439.50,443.21,443.21,79491500
